"genre","song","artist","danceability"
"hip hop, pop, R&B","Give It To Me","Timbaland","0.975"
"pop, R&B, Dance/Electronic","Trick Me","Kelis","0.97"
"hip hop, pop, R&B","4 My People (feat. Eve)","Missy Elliott","0.969"
"pop","SexyBack (feat. Timbaland)","Justin Timberlake","0.967"
"pop, R&B","Get Up (feat. Chamillionaire)","Ciara","0.964"
"hip hop, pop","Anaconda","Nicki Minaj","0.964"
"hip hop","Shake That","Eminem","0.963"
"hip hop","Yes Indeed","Lil Baby","0.963"
"pop, R&B","Push The Button","Sugababes","0.962"
"hip hop, pop, R&B","Hot In Herre","Nelly","0.956"
