"song","artist","popularity","loudness"
"lovely (with Khalid)","Billie Eilish","86","-10.109"
"lovely (with Khalid)","Billie Eilish","86","-10.109"
"Bored","Billie Eilish","84","-12.695"
"Lost in the Fire (feat. The Weeknd)","Gesaffelstein","84","-12.21"
"bad guy","Billie Eilish","83","-10.965"
"7 rings","Ariana Grande","83","-10.732"
"we fell in love in october","girl in red","82","-12.808"
"Doin' Time","Lana Del Rey","80","-11.132"
"MIDDLE CHILD","J. Cole","80","-11.713"
"changes","XXXTENTACION","79","-10.068"
"Hey There Delilah","Plain White T's","78","-10.572"
"i hate u, i love u (feat. olivia o'brien)","Garrett Nash","77","-13.4"
"Back To Black","Amy Winehouse","76","-13.964"
"Stay","Rihanna","76","-10.164"
"Chill Bill (feat. J. Davi$ & Spooks)","Rob $tone","76","-10.028"
"Exchange","Bryson Tiller","76","-10.598"
"Chill Bill (feat. J. Davi$ & Spooks)","Rob $tone","76","-10.028"
"Take Care","Drake","75","-10.358"
"bury a friend","Billie Eilish","75","-14.505"
"Say It","Tory Lanez","73","-10.511"
"Rehab","Amy Winehouse","71","-13.609"
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""""""","Ed Sheeran","71","-20.514"
