"year","genre","song_count"
"1998","hip hop, pop, R&B","1"
"1999","pop","11"
"1999","pop, R&B","5"
"1999","hip hop, pop, R&B","3"
"1999","hip hop","3"
"1999","rock, pop","2"
"1999","pop, rock, metal","2"
"1999","pop, latin","2"
"1999","pop, Dance/Electronic","2"
"1999","set()","1"
"1999","rock, metal","1"
"1999","rock, blues, latin","1"
"1999","rock, Folk/Acoustic, easy listening","1"
"1999","rock","1"
"1999","pop, country","1"
"1999","hip hop, pop","1"
"1999","Dance/Electronic","1"
"2000","pop","16"
"2000","pop, R&B","11"
"2000","hip hop, pop, R&B","10"
"2000","pop, rock","4"
"2000","pop, Dance/Electronic","4"
"2000","hip hop, pop","4"
"2000","hip hop","4"
"2000","rock, metal","3"
"2000","R&B","3"
"2000","pop, rock, metal","2"
"2000","metal","2"
"2000","hip hop, pop, latin","2"
"2000","rock, pop, metal","1"
"2000","rock, pop","1"
"2000","rock","1"
"2000","pop, latin","1"
"2000","pop, Folk/Acoustic","1"
"2000","hip hop, R&B","1"
"2000","World/Traditional, Folk/Acoustic","1"
"2000","Folk/Acoustic, rock","1"
"2000","Dance/Electronic","1"
"2001","pop","25"
"2001","hip hop, pop, R&B","19"
"2001","pop, R&B","18"
"2001","hip hop, pop","7"
"2001","rock, metal","6"
"2001","pop, Dance/Electronic","6"
"2001","rock, pop","5"
"2001","Dance/Electronic","5"
"2001","hip hop","4"
"2001","pop, latin","3"
"2001","pop, country","3"
"2001","pop, rock","2"
"2001","rock, pop, metal","1"
"2001","pop, rock, metal","1"
"2001","pop, Folk/Acoustic","1"
"2001","hip hop, pop, rock","1"
"2001","hip hop, Dance/Electronic","1"
"2002","hip hop, pop, R&B","27"
"2002","pop","19"
"2002","hip hop, pop","11"
"2002","hip hop","8"
"2002","pop, R&B","5"
"2002","rock, pop","3"
"2002","rock, metal","3"
"2002","pop, rock","3"
"2002","rock","2"
"2002","pop, rock, metal","2"
"2002","pop, Dance/Electronic","2"
"2002","set()","1"
"2002","rock, easy listening","1"
"2002","pop, Folk/Acoustic","1"
"2002","Folk/Acoustic, pop","1"
"2002","Dance/Electronic","1"
"2003","hip hop, pop","18"
"2003","pop, R&B","17"
"2003","pop","15"
"2003","hip hop, pop, R&B","11"
"2003","rock, metal","6"
"2003","pop, Dance/Electronic","6"
"2003","metal","5"
"2003","rock, pop","4"
"2003","pop, R&B, Dance/Electronic","3"
"2003","rock","2"
"2003","hip hop, pop, R&B, latin","2"
"2003","rock, blues","1"
"2003","pop, rock, metal","1"
"2003","pop, latin","1"
"2003","pop, easy listening, jazz","1"
"2003","hip hop, R&B","1"
"2003","hip hop","1"
"2003","World/Traditional, hip hop","1"
"2003","Dance/Electronic","1"
"2004","pop, R&B","15"
"2004","pop","15"
"2004","hip hop, pop, R&B","14"
"2004","hip hop","14"
"2004","hip hop, pop","12"
"2004","pop, Dance/Electronic","5"
"2004","set()","4"
"2004","rock","4"
"2004","hip hop, pop, rock","2"
"2004","World/Traditional, rock","2"
"2004","Dance/Electronic","2"
"2004","rock, metal","1"
"2004","pop, rock, Dance/Electronic","1"
"2004","pop, rock","1"
"2004","pop, latin","1"
"2004","latin","1"
"2004","hip hop, Dance/Electronic","1"
"2004","R&B","1"
"2005","hip hop, pop","21"
"2005","hip hop, pop, R&B","18"
"2005","pop, R&B","12"
"2005","pop","10"
"2005","hip hop","8"
"2005","rock","6"
"2005","rock, metal","5"
"2005","rock, pop","4"
"2005","pop, Dance/Electronic","3"
"2005","pop, latin","2"
"2005","pop, Folk/Acoustic","2"
"2005","hip hop, pop, rock","2"
"2005","World/Traditional, pop, Folk/Acoustic","2"
"2005","set()","1"
"2005","rock, Dance/Electronic","1"
"2005","pop, rock","1"
"2005","pop, easy listening, jazz","1"
"2005","pop, country","1"
"2005","hip hop, pop, country","1"
"2005","hip hop, pop, R&B, latin","1"
"2005","country","1"
"2005","Dance/Electronic","1"
"2006","pop","26"
"2006","pop, R&B","15"
"2006","hip hop, pop","15"
"2006","rock","10"
"2006","hip hop, pop, R&B","8"
"2006","hip hop, pop, latin","3"
"2006","R&B","3"
"2006","rock, pop","2"
"2006","pop, Dance/Electronic","2"
"2006","country","2"
"2006","Dance/Electronic","2"
"2006","set()","1"
"2006","pop, rock, Dance/Electronic","1"
"2006","pop, R&B, Dance/Electronic","1"
"2006","metal","1"
"2006","hip hop, R&B","1"
"2006","World/Traditional, rock, pop","1"
"2006","World/Traditional, pop","1"
"2007","hip hop, pop, R&B","19"
"2007","pop, R&B","13"
"2007","pop","13"
"2007","hip hop, pop","13"
"2007","rock","7"
"2007","rock, metal","6"
"2007","hip hop","5"
"2007","pop, Dance/Electronic","4"
"2007","pop, rock","3"
"2007","set()","2"
"2007","hip hop, pop, R&B, Dance/Electronic","2"
"2007","rock, pop","1"
"2007","rock, blues, latin","1"
"2007","rock, blues","1"
"2007","pop, rock, Dance/Electronic","1"
"2007","pop, latin","1"
"2007","hip hop, pop, Dance/Electronic","1"
"2007","Dance/Electronic","1"
"2008","pop","22"
"2008","pop, R&B","18"
"2008","hip hop, pop, R&B","15"
"2008","hip hop, pop","15"
"2008","rock, metal","4"
"2008","hip hop","3"
"2008","rock, pop","2"
"2008","rock","2"
"2008","pop, Dance/Electronic","2"
"2008","R&B","2"
"2008","Dance/Electronic","2"
"2008","rock, pop, metal","1"
"2008","rock, pop, Dance/Electronic","1"
"2008","rock, R&B, Folk/Acoustic, pop","1"
"2008","pop, rock, metal","1"
"2008","pop, rock, Dance/Electronic","1"
"2008","pop, latin","1"
"2008","pop, R&B, easy listening","1"
"2008","pop, Folk/Acoustic","1"
"2008","hip hop, pop, rock","1"
"2008","hip hop, Dance/Electronic","1"
"2009","pop","20"
"2009","hip hop, pop, R&B","15"
"2009","pop, R&B","8"
"2009","pop, Dance/Electronic","8"
"2009","hip hop, pop","8"
"2009","hip hop","7"
"2009","rock","4"
"2009","set()","2"
"2009","hip hop, pop, latin","2"
"2009","hip hop, pop, Dance/Electronic","2"
"2009","rock, pop, metal","1"
"2009","rock, pop, Dance/Electronic","1"
"2009","rock, pop","1"
"2009","rock, metal","1"
"2009","pop, latin","1"
"2009","country","1"
"2009","Folk/Acoustic, rock, pop","1"
"2009","Dance/Electronic","1"
"2010","hip hop, pop","23"
"2010","pop","20"
"2010","hip hop, pop, R&B","18"
"2010","pop, Dance/Electronic","14"
"2010","hip hop, pop, Dance/Electronic","8"
"2010","pop, R&B","4"
"2010","hip hop","3"
"2010","country","3"
"2010","Dance/Electronic","3"
"2010","pop, rock, Dance/Electronic","2"
"2010","pop, latin","2"
"2010","hip hop, pop, rock","2"
"2010","rock, pop","1"
"2010","pop, easy listening, Dance/Electronic","1"
"2010","pop, country","1"
"2010","World/Traditional, rock, pop","1"
"2010","R&B","1"
"2011","hip hop, pop","18"
"2011","pop, Dance/Electronic","12"
"2011","pop","12"
"2011","hip hop, pop, R&B","12"
